Turtle_ID,Status,Status_2,SMR_ml_CO2_hr,Days_To_Oviposition,Female_Mass_g,Egg_SMR_ml_O2_hr,Egg_Mass_g,Clutch_Size 
ABL,Gravid ,1,5.37472,-43,155,0.0154932,16.9,4
ABL,Gravid ,1,4.04238,-25,153,0.0154932,16.9,4
ABT,Gravid ,1,6.05008,-59,149,0.01842,12.4,3
ABT,Gravid ,1,5.2945,-43,145,0.01842,12.4,3
ABT,Gravid ,1,4.77846,-33,145,0.01842,12.4,3
ABT,Gravid ,1,4.29054,-15,139,0.01842,12.4,3
ABU,Gravid ,1,7.08334,-34,151,0.0130554,18,4
ABU,Gravid ,1,4.47712,-17,144,0.0130554,18,4
ABU,Gravid ,1,3.9533,-7,144,0.0130554,18,4
ACI,Gravid ,1,4.4941,-60,112,0.0089736,14.3,4
ACI,Gravid ,1,3.67898,-44,112,0.0089736,14.3,4
ACI,Gravid ,1,2.82904,-36,111,0.0089736,14.3,4
ACI,Gravid ,1,3.7331,-17,109,0.0089736,14.3,4
ACT,Gravid ,1,6.68373,-43,124,0.0166836,14,4
ACT,Gravid ,1,3.46358,-34,124,0.0166836,14,4
ACT,Gravid ,1,4.12558,-19,123,0.0166836,14,4
ACO,Gravid ,1,5.2416,-23,196,0.0192456,19.8,4
ACO,Gravid ,1,5.3204033,-8,196,0.0192456,19.8,4
ABI,Gravid ,1,4.9546,-82,166,0.0170654,15.5,4
ABI,Gravid ,1,4.72254,-72,166,0.0170654,15.5,4
ABI,Gravid ,1,3.7331,-55,168,0.0170654,15.5,4
ABI,Gravid ,1,4.31698,-47,167,0.0170654,15.5,4
ABI,Gravid ,1,4.686588,-12,167,0.0170654,15.5,4
ABI,Gravid ,1,4.29864,-5,167,0.0170654,15.5,4
AHM,Gravid ,1,3.2862,-23,103,0.0085224,11.1,3
AHM,Gravid ,1,2.8596,-14,104,0.0085224,11.1,3
AHM,Gravid ,1,2.66134,-7,99,0.0085224,11.1,3
AHT,Gravid ,1,4.04502,-37,140,0.0187584,17,6
AHT,Gravid ,1,3.72826,-28,138,0.0187584,17,6
AHL,Gravid ,1,5.4114,-19,148,0.0237246,15.1,5
AHL,Gravid ,1,3.46692,-10,150,0.0237246,15.1,5
AIN,Gravid ,1,5.10752,-39,140,0.0131868,10.5,3
AIN,Gravid ,1,4.0627,-34,139,0.0131868,10.5,3
AIN,Gravid ,1,4.35522,-14,137,0.0131868,10.5,3
AHO,Gravid ,1,3.90224,-34,105,0.0171828,13.6,4
AH,Gravid ,1,4.48534,-25,127,0.0136392,11,3
AH,Gravid ,1,4.85943333,-16,125,0.0136392,11,3
AJV,Gravid ,1,3.21746,-21,142,0.0050742,8,2
AKL,Gravid ,1,4.2988,-34,124,0.0178662,12.9,4
AKL,Gravid ,1,4.88364,-24,125,0.0178662,12.9,4
AKL,Gravid ,1,4.11538,-13,124,0.0178662,12.9,4
ABL,Non-Gravid,0,2.89674,7,141,0,0,0
ABT,Non-Gravid,0,4.21014,7,128,0,0,0
ABU,Non-Gravid,0,3.4504,7,131,0,0,0
ACI,Non-Gravid,0,2.51466,7,99,0,0,0
ACT,Non-Gravid,0,3.431706667,7,112,0,0,0
ACO,Non-Gravid,0,2.88264,7,178,0,0,0
ABI,Non-Gravid,0,2.92466,7,156,0,0,0
AHM,Non-Gravid,0,2.72474,7,95,0,0,0
AHT,Non-Gravid,0,2.88264,7,121,0,0,0
AHL,Non-Gravid,0,2.5949,7,130,0,0,0
AIN,Non-Gravid,0,3.85448,7,122,0,0,0
AHO,Non-Gravid,0,2.042794,7,92,0,0,0
AH,Non-Gravid,0,2.7247,7,117,0,0,0
AJV,Non-Gravid,0,2.56876,7,134,0,0,0
AKL,Non-Gravid,0,2.44084,7,115,0,0,0
